,IdJuego,platforms
1314,208140,windows;mac
1315,208200,windows
1316,208400,windows;mac
1317,208460,windows
1318,208500,windows
1319,208520,windows;mac
1320,208580,windows;mac;linux
1321,208600,windows;mac
1322,208620,windows
1323,208630,windows
1324,208640,windows
1325,208650,windows
1326,208670,windows;mac
1327,208710,windows
1328,208730,windows
1329,208750,windows;mac;linux
1330,209000,windows
1331,209060,windows;linux
1332,209080,windows;mac;linux
1333,209100,windows
1334,209120,windows
1335,209160,windows
1336,209190,windows;mac;linux
1337,209230,windows
1338,209330,windows;mac;linux
1339,209360,windows
1340,209370,windows;mac;linux
1341,209390,windows
1342,209520,windows
1343,209540,windows;mac;linux
1344,209610,windows
1345,209630,windows
1346,209650,windows
1347,209670,windows;mac
1348,209690,windows;mac
1349,209730,windows
1350,209750,windows
1351,209790,windows;mac;linux
1352,209830,windows;mac
1353,209850,windows;mac
1354,209950,windows;mac
1355,210170,windows;mac;linux
1356,210230,windows;mac
1357,210770,windows;mac;linux
1358,210870,windows
1359,210950,windows
1360,210970,windows;mac
1361,211010,windows
1362,211160,windows
1363,211180,windows;mac;linux
1364,211260,windows;mac;linux
1365,211280,windows
1366,211340,windows;mac;linux
1367,211360,windows;mac
1368,211400,windows
1369,211440,windows;mac;linux
1370,211500,windows
1371,211580,windows
1372,211600,windows
1373,211740,windows
1374,211780,windows
1375,211800,windows
1376,211820,windows;mac;linux
1377,211900,windows;mac;linux
1378,211970,windows
1379,212010,windows
1380,212030,windows
1381,212050,windows
1382,212070,windows;mac;linux
1383,212110,windows
1384,212160,windows
1385,212390,windows
1386,212500,windows;mac
1387,212630,windows
1388,212680,windows;mac;linux
1389,212700,windows
1390,212780,windows;mac
1391,212800,windows;mac;linux
1392,213030,windows;mac
1393,213330,windows
1394,213350,windows
1395,213390,windows
1396,213610,windows
1397,213650,windows;mac
1398,213670,windows
1399,213850,windows
1400,214100,windows
1401,214130,windows
1402,214150,windows
1403,214170,windows
1404,214250,windows
1405,214340,windows;mac;linux
1406,214360,windows;mac
1407,214420,windows;mac;linux
1408,214490,windows;mac;linux
1409,214550,windows;mac;linux
1410,214570,windows
1411,214590,windows
1412,214610,windows
1413,214630,mac
1414,214700,windows;mac
1415,214730,windows
1416,214770,windows;mac;linux
1417,214790,windows;mac
1418,214830,windows
1419,214870,windows;mac;linux
1420,214910,windows;mac
1421,214950,windows;mac
1422,214970,windows;linux
1423,215080,windows;mac;linux
1424,215160,windows;mac;linux
1425,215280,windows
1426,215390,windows
1427,215470,windows
1428,215510,windows;mac;linux
1429,215530,windows
1430,215550,windows;mac
1431,215630,windows
1432,215670,windows;mac
1433,215690,windows
1434,215710,windows
1435,215770,windows
1436,215790,windows;mac
1437,215830,windows
1438,215870,windows
1439,215930,windows;mac;linux
1440,216090,windows
1441,216110,windows;mac
1442,216130,windows;mac
1443,216150,windows
1444,216210,windows
1445,216260,windows
1446,216290,windows;mac;linux
1447,216670,windows
1448,216890,windows
1449,216910,windows
1450,216930,windows
1451,217120,windows
1452,217140,windows
1453,217200,windows
1454,217270,windows
1455,217290,windows;mac;linux
